,1,17,7.625,253000,360,79,95,2,21,655,0,2,0.1,1.1,0.2,25,468,0,656,0.0.1,0.3,0.4
count,40282728,40282728,40282728,40282728,40282728,40282728,40282728,40282728,40282728,40282728,40282728,40282728,40282728,40282728,40282728,40282728,40282728,40282728,40282728,40282728,40282728,40282728
mean,1.646109419,39.51046141,5.210753688,190893.3324,307.6503367,70.13153491,70.97012409,1.584709715,33.39224453,742.7134403,0.111767927,0.984254393,0.371165999,1.035045814,0.148537482,26.25700697,546.3984288,4.309667533,749.8509964,0.19596498,0.005581524,0.014701189
std,0.726697782,26.5861593,1.2597162,109753.5527,82.07985895,17.48634873,17.5671404,0.508501812,11.41362785,53.22726854,0.316562701,0.83805293,0.700063672,0.244588109,0.454174153,14.90716324,305.7191329,9.651439622,37.63947745,0.432008907,0.074500808,0.120353913
min,1,0,1.75,1000,36,1,1,1,1,300,0,0,0,1,0,0,0,0,300,0,0,0
25%,1,17,4.25,110000,240,60,61,1,25,708,0,0,0,1,0,13,296,0,731,0,0,0
50%,1,22,5.125,166000,360,75,75,2,33.28563328,755,0,1,0,1,0,29,549,0,754.6402405,0,0,0
75%,2,68,6.125,250000,360,80,80,2,42,786,0,2,1,1,0,35,844,0,774.7714591,0,0,0
max,3,97,13.5,1403000,360,97,199,10,64,850,2,3,4,4,2,53,999,50,850,3,1,1
